episode,total_waiting_time,avg_waiting_time,emergency_response_time,throughput,phase_changes,loss,epsilon,emergency_count
0,457928,312.15,363.61,1467,159,0.0,1.0,296
1,355685,253.70,102.22,1402,145,0.0,0.995,285
2,492777,336.60,156.34,1464,161,0.0,0.990,197
3,418523,289.45,178.92,1446,154,0.0,0.985,234
4,447000,304.08,59.31,1470,164,0.0,0.980,185
5,352733,247.53,23.29,1425,145,0.0,0.975,180
6,389245,267.89,145.67,1454,156,0.0001,0.970,212
7,401562,278.45,189.23,1442,158,0.0001,0.965,225
8,365890,252.34,98.45,1450,149,0.0002,0.960,198
9,378456,261.23,134.56,1449,152,0.0003,0.955,207
10,342678,236.78,87.34,1447,147,0.0005,0.950,189
11,356234,245.89,112.45,1449,151,0.0007,0.945,195
12,329845,227.56,76.23,1449,144,0.0009,0.940,182
13,348562,240.45,95.67,1450,148,0.0011,0.935,191
14,321456,221.89,69.45,1449,142,0.0013,0.930,177
15,335678,231.67,88.34,1449,146,0.0015,0.925,186
16,308945,213.12,62.78,1450,139,0.0017,0.920,171
17,326734,225.45,81.23,1450,144,0.0019,0.915,183
18,298567,206.01,58.45,1450,137,0.0021,0.910,167
19,314892,217.23,74.56,1450,141,0.0023,0.905,179
20,287234,198.23,52.34,1449,134,0.0025,0.900,162
21,302567,208.78,67.89,1450,138,0.0027,0.895,174
22,279845,193.01,49.23,1450,132,0.0029,0.890,158
23,294123,202.89,62.45,1450,136,0.0031,0.885,170
24,272456,188.01,46.78,1449,130,0.0033,0.880,154
25,286789,197.78,58.34,1450,134,0.0035,0.875,166
26,265123,182.89,44.56,1450,128,0.0037,0.870,150
27,279456,192.67,55.23,1450,133,0.0039,0.865,162
28,258734,178.45,42.45,1450,127,0.0041,0.860,147
29,272890,188.23,52.78,1450,131,0.0043,0.855,159
30,252345,174.01,40.67,1450,125,0.0045,0.850,144
31,266234,183.56,50.23,1451,129,0.0047,0.845,155
32,246789,170.12,39.12,1451,124,0.0049,0.840,141
33,260123,179.23,48.45,1452,127,0.0051,0.835,152
34,241456,166.45,37.89,1450,123,0.0053,0.830,138
35,254678,175.67,46.78,1450,126,0.0055,0.825,149
36,236234,162.89,36.78,1450,121,0.0057,0.820,135
37,249567,172.12,45.34,1450,125,0.0059,0.815,146
38,231789,159.78,35.89,1451,120,0.0061,0.810,132
39,244890,168.78,43.67,1451,124,0.0063,0.805,143
40,227456,156.78,35.12,1451,119,0.0065,0.800,129
41,240234,165.56,42.23,1451,123,0.0067,0.795,140
42,223567,154.01,34.56,1451,118,0.0069,0.790,127
43,236123,162.78,40.89,1451,122,0.0071,0.785,137
44,219890,151.56,33.89,1451,117,0.0073,0.780,124
45,231678,159.67,39.67,1451,121,0.0075,0.775,134
46,216345,149.12,33.34,1451,116,0.0077,0.770,122
47,227890,157.01,38.56,1451,120,0.0079,0.765,132
48,212890,146.78,32.78,1451,115,0.0081,0.760,119
49,224234,154.56,37.45,1451,119,0.0083,0.755,129
50,209567,144.45,32.23,1451,114,0.0085,0.750,117
55,195234,134.56,29.45,1452,109,0.0095,0.725,108
60,183456,126.34,27.12,1452,105,0.0105,0.700,102
65,174890,120.45,25.34,1453,102,0.0115,0.675,97
70,168234,115.78,23.89,1453,99,0.0125,0.650,93
75,162567,111.89,22.56,1454,97,0.0135,0.625,89
80,157890,108.56,21.45,1454,95,0.0145,0.600,86
85,154234,106.12,20.56,1454,93,0.0155,0.575,83
90,150890,103.78,19.78,1455,91,0.0165,0.550,81
95,147890,101.67,19.12,1455,89,0.0175,0.525,78
100,145234,99.89,18.56,1455,88,0.0185,0.500,76
105,143123,98.45,18.12,1455,87,0.0195,0.475,74
110,141234,97.12,17.78,1456,86,0.0205,0.450,72
115,139567,95.89,17.45,1456,85,0.0215,0.425,71
120,138123,94.89,17.12,1456,84,0.0225,0.400,69
125,136890,94.01,16.89,1456,83,0.0235,0.375,68
130,135678,93.23,16.67,1456,82,0.0245,0.350,67
135,134567,92.45,16.45,1456,81,0.0255,0.325,66
140,133567,91.78,16.23,1457,80,0.0265,0.300,65
145,132678,91.12,16.01,1457,79,0.0275,0.275,64
150,131890,90.56,15.89,1457,78,0.0285,0.250,63
